Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
UHC service coverage index,SH.UHC.SRVS.CV.XD,Lao PDR,LAO,..,..,..,..,..,..,49,..,51,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Latvia,LVA,..,..,..,..,..,..,67,..,71,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Lebanon,LBN,..,..,..,..,..,..,71,..,73,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Lesotho,LSO,..,..,..,..,..,..,47,..,48,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Liberia,LBR,..,..,..,..,..,..,37,..,39,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Libya,LBY,..,..,..,..,..,..,62,..,64,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Lithuania,LTU,..,..,..,..,..,..,70,..,73,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Luxembourg,LUX,..,..,..,..,..,..,82,..,83,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Madagascar,MDG,..,..,..,..,..,..,24,..,28,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Malawi,MWI,..,..,..,..,..,..,43,..,46,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Malaysia,MYS,..,..,..,..,..,..,71,..,73,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Maldives,MDV,..,..,..,..,..,..,59,..,62,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Mali,MLI,..,..,..,..,..,..,35,..,38,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Malta,MLT,..,..,..,..,..,..,81,..,82,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Mauritania,MRT,..,..,..,..,..,..,36,..,41,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Mauritius,MUS,..,..,..,..,..,..,62,..,63,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Mexico,MEX,..,..,..,..,..,..,76,..,76,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,44,..,47,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Moldova,MDA,..,..,..,..,..,..,68,..,69,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Mongolia,MNG,..,..,..,..,..,..,62,..,62,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Montenegro,MNE,..,..,..,..,..,..,67,..,68,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Morocco,MAR,..,..,..,..,..,..,69,..,70,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Mozambique,MOZ,..,..,..,..,..,..,43,..,46,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Myanmar,MMR,..,..,..,..,..,..,59,..,61,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Namibia,NAM,..,..,..,..,..,..,61,..,62,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Nepal,NPL,..,..,..,..,..,..,51,..,48,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Netherlands,NLD,..,..,..,..,..,..,85,..,86,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,New Zealand,NZL,..,..,..,..,..,..,85,..,87,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Nicaragua,NIC,..,..,..,..,..,..,71,..,73,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Niger,NER,..,..,..,..,..,..,35,..,37,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Nigeria,NGA,..,..,..,..,..,..,42,..,42,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,North Macedonia,MKD,..,..,..,..,..,..,70,..,72,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Norway,NOR,..,..,..,..,..,..,86,..,87,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Oman,OMN,..,..,..,..,..,..,71,..,69,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Pakistan,PAK,..,..,..,..,..,..,42,..,45,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Panama,PAN,..,..,..,..,..,..,76,..,79,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Papua New Guinea,PNG,..,..,..,..,..,..,41,..,40,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Paraguay,PRY,..,..,..,..,..,..,68,..,69,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Peru,PER,..,..,..,..,..,..,77,..,77,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Philippines,PHL,..,..,..,..,..,..,57,..,61,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Poland,POL,..,..,..,..,..,..,74,..,75,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Portugal,PRT,..,..,..,..,..,..,81,..,82,..,..,..
UHC service coverage index,SH.UHC.SRVS.CV.XD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
